AAA-BST Six3 Meis2 Gaba,#d04156
MPT-NOT-PPT Mecom Gaba,#d83ca7
MRN-PAG Nkx6-1 Glut,#da3e99
MS Bsx Glut,#2d4821
MSN D1 Gaba,#a55b29
MSN D1 Sema5a Gaba,#d07b74
MSN D2 Gaba,#d2889b
MV Glut,#55abc1
MV Nkx6-1 Gly-Gaba,#de933e
MV Pax6 Gly-Gaba,#d3883b
MV-NTS Bcl11b Neurod2 Gly-Gaba,#995927
MV-SPIV Phox2b Ebf3 Lbx1 Glut,#70602d
MV-SPIV-PRP Dmbx1 Gly-Gaba,#6c4229
MY Calcb Chol,#cc4ad8
MY Lhx1 Gly-Gaba,#e3893b
MY Pkd2l1 Gaba,#852b6f
MY Prox1 Gly-Gaba,#db956e
Microglia NN,#c1a237
Monocytes NN,#852b6f
ND-PCG Gata3 Lhx1 Gaba,#836291
NDB-SI-MA-STRv Lhx8 Gaba,#6f2d2d
NDB-SI-ant Prdm12 Gaba,#ba6b6c
NLL Gata3 Gly-Gaba,#9c743a
NLOT Rho Glut,#523cc4
NP PPP Glut,#534eaa
NP SUB Glut,#3a4881
NTS Crp Glut,#428164
NTS Dbh Glut,#50c640
NTS Phox2b Glut,#4f9a44
OPC NN,#c0ae3a
OT D3 Folh1 Gaba,#71482a
Oligo NN,#7e7f39
PAG Dmrta2 Glut,#977e2e
PAG Neurod2 Meis2 Glut,#4fb55a
PAG Nkx2-2 Nr2f2 Gaba,#c872d3
PAG Ucn Glut,#546895
PAG-MRN Pou3f1 Glut,#5bad90
PAG-MRN Rln3 Gaba,#852b6f
PAG-PRT Tcf7l2 Glut,#5aba6c
PAL-STR Gaba-Chol,#cda272
PARN Gbx2 Gly-Gaba,#dc5329
PAS-MV Ebf2 Gly-Gaba,#d19e6e
PB Lmx1a Glut,#a7aa6f
PB Pax5 Glut,#6ec13f
PB-CUN Ppp1r1c Glut,#4a84a7
PB-NTS Phox2b Ebf3 Lmx1b Glut,#3b5224
PB-an-do Evx2 Glut,#3b4c21
PCG Vsx2 Lhx4 Glut,#4e7528
PCG-CUN-MRN Pax5 Cdh23 Gaba,#ca81cf
PCG-LDT-DTN-RPO-CS Meis2 Gaba,#be75d6
PCG-LDT-DTN-RPO-CS Pax8 Gaba,#7f47df
PCG-LDT-DTN-RPO-CS St18 Gaba,#444a77
PCG-LDT-DTN-RPO-CS Tox Gaba,#be77cd
PCG-SLD Vsx2 Nkx6-1 Glut,#98ad6c
PCG-po Gata3 Slc6a5 Gly-Gaba,#7b75d9
PDTg Otp Olig3 Gaba,#cc43c9
PF Fzd5 Glut,#976ea3
PG-TRN-LRN Fat2 Glut,#374773
PGRN-PARN-MDRN Hoxb5 Glut,#bbb33b
PGRNd Otp Glut,#468834
PH Pitx2 Glut,#415c2d
PH-LHA Foxb1 Glut,#499948
PH-SUM Foxa1 Glut,#63ab8b
PH-an Pitx2 Glut,#66a7d5
PH-ant Otp Glut,#9bb43a
PM Pitx2 Glut,#4b8d6d
PM-LHA Foxb1 Glut,#6ebd36
PM-TM-PVp Tbx3 Hist-Gaba,#c1a237
POL-PIL-PoT-SGN Glut,#b148de
POR Gata3 Gly-Gaba,#d58b30
POR Spp1 Gly-Gaba,#993e96
PPN-PCG Otp En1 Gaba,#753072
PPN-SNr Pax5 Sox21 Gaba,#773159
PRC-NPC Pax6 Glut,#55822f
PRNr Otp Nfib Glut,#4ebb68
PRP-MY Otp Gly-Gaba,#9d682c
PRT Tcf7l2 Gaba,#d250bb
PSV Glut,#4f2a96
PVH-LHA Barhl2 Glut,#325634
PVH-PVHd-SO Otp Glut,#a7ad73
PVH-PVi Six3 Prox1 Gaba,#c489ac
PVHd Gsc Gaba,#6a2d85
PVHd-DMH Lhx6 Gaba,#802e73
PVR Six3 Gaba,#d63db6
PVT-PT-RE Ntrk1 Glut,#c987d6
PVa-AHN-LHA Otp Glut,#97aa66
PVa-ARH Six3 Dopa-Gaba,#cc4ad8
PVa-ARH Six3 Gaba,#d344c3
PVpo-VMPO-MPN Hmx2 Gaba,#c498bc
Peri NN,#db9133
Pvalb Gaba,#e04633
Pvalb chandelier Gaba,#e26b2c
RE-Xi-PR Nox4 Glut,#d84bd3
RHP-COA Ndnf Gaba,#ad3752
RN Nkx2-2 Otx1 Gaba,#bb9dd0
RN-MRN En1 Sox2 Gaba,#b292c6
RPO-NI-SLD Vsx2 Nr4a2 Glut,#336446
RR-SNr-PAG Foxa2 Gaba,#724c7a
RT Gnb3 Gaba,#d54628
SC Lef1 Emx2 Gaba,#db47ba
SC Lef1 Otx2 Gaba,#9a3c2c
SC Otx2 Gcnt4 Gaba,#6c352c
SC Tnnt1 Gli3 Gaba,#e57a70
SCH Gaba,#d243b5
SCdg Pou4f1 Ebf2 Glut,#337982
SCdg Pou4f1 Glut,#6ebd36
SCdg Pou4f2 Glut,#59b2d3
SCdg Pou4f2 Mesi2 Glut,#58b3a5
SCdg Pou4f3 Glut,#2c553a
SCdg Tfap2b Glut,#27411f
SCdg-ve Pou4f1 Glut,#50c136
SCdg-ve Tfap2b Glut,#5bc19c
SCig Foxb1 Glut,#60c17a
SCig Tfap2b Chrnb3 Glut,#6069cf
SCig-ve Pitx2 Glut,#70c137
SCm Cdh23 Gaba,#cd6f9d
SCop Pou4f2 Neurod2 Glut,#a060db
SCop Sln Glut,#542d87
SCs Dmbx1 Gaba,#dd3e38
SCs Lef1 Gli3 Gaba,#963829
SCs Pax7 Nfia Gaba,#e24d8b
SCsg Gabrr2 Gaba,#df3e40
SCsg Pde5a Glut,#4b4b78
SI-MA-LPO Skor1 Glut,#5ebaa3
SI-MA-NDB Ebf1 Bnc2 Gaba,#684622
SI-MA-NDB Six3 Meis2 Gaba,#84251f
SI-MPO-LPO Lhx8 Gaba,#925a86
SMC NN,#6a382a
SNc-VTA-RAmb Foxa1 Dopa,#d7852d
SNr Six3 Gaba,#8e3223
SNr-VTA-PPN Pax5 Npas1 Gaba,#6a382a
SPA-SPFp-PIL-PoT-SPFm-PVT Glut,#99ba3f
SPVC Ccdc172 Glut,#99ba3f
SPVC Nmu Glut,#675529
SPVI-SPVC Mafa Glut,#675529
SPVI-SPVC Sall3 Gly-Gaba,#9b522e
SPVI-SPVC Tlx3 Ebf3 Glut,#4bbf43
SPVO Mafa Meis2 Glut,#6770d6
STN-PSTN Pitx2 Glut,#50adc0
STR Prox1 Lhx6 Gaba,#dc602b
STR-PAL Chst9 Gaba,#d73e5c
STRv Lhx8 Gaba,#ab3926
SUB-ProS Glut,#5dbd72
Sncg Gaba,#81314e
Sst Chodl Gaba,#de492a
Sst Gaba,#da9b7b
TH Prkcd Grin2c Glut,#b746df
TRS Sln Glut,#562aa2
TU-ARH Otp Six6 Gaba,#c343d4
Tanycyte NN,#665829
V3 Tph1 Glut,#572490
VCO-PSV-SOCl Mafa Meis2 Glut,#8c6be4
VLMC NN,#665829
VMH Fezf1 Glut,#5b38cb
VMH Nr5a1 Glut,#52c273
Vip Gaba,#d64c80
ZI Pax6 Gaba,#93358d
